date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:11:49	99/99	---M-Z	200	added ('OK')	text/plain	etag:%22394c1ff7de885430b8a05070996df6bb%22	https://www.nfactorial.school/robots.txt		(from )
15:11:49	954687/954687	---M-Z	200	added ('OK')	text/html	etag:%22bb73642d62b82a74bccb76aa7cd0131b%22	https://www.nfactorial.school/	C:/My%20Web%20Sites/nfactorial/www.nfactorial.school/index.html	(from )
15:11:50	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Wed,%2013%20Aug%202025%2009:11:50%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/nfactorial/www.googletagmanager.com/gtm.05445.delayed	(from https://www.nfactorial.school/)
15:11:50	17698/17698	---MC-	200	added ('OK')	image/png	etag:%226c0c46eb0231a7a3002a8c76595c95ef%22	https://framerusercontent.com/images/lX5QcegD928dZZ7u51ccCsTJHU.png	C:/My%20Web%20Sites/nfactorial/framerusercontent.com/images/lX5QcegD928dZZ7u51ccCsTJHU.png	(from https://www.nfactorial.school/)
15:11:51	3268/3268	---M--	200	added ('OK')	font/woff2	date:Mon,%2002%20Jun%202025%2016:43:18%20GMT	https://fonts.gstatic.com/s/gloock/v7/Iurb6YFw84WUY4NJhRakNrc.woff2	C:/My%20Web%20Sites/nfactorial/fonts.gstatic.com/s/gloock/v7/Iurb6YFw84WUY4NJhRakNrc.woff2	(from https://www.nfactorial.school/)
15:11:51	1561/1561	---M--	404	error ('Not%20Found')	text/html	date:Wed,%2013%20Aug%202025%2009:11:51%20GMT	https://fonts.gstatic.com/	C:/My%20Web%20Sites/nfactorial/fonts.gstatic.com/index.html	(from https://www.nfactorial.school/)
15:11:51	111973/111973	---M--	200	added ('OK')	image/png	etag:%224ea8223cccebdd4fdb54f2c5123eafff%22	https://framerusercontent.com/assets/lX5QcegD928dZZ7u51ccCsTJHU.png	C:/My%20Web%20Sites/nfactorial/framerusercontent.com/assets/lX5QcegD928dZZ7u51ccCsTJHU.png	(from https://www.nfactorial.school/)
15:11:52	699840/699840	---M-Z	200	added ('OK')	text/html	etag:%22dd7d1820b407ebb12ad0e92c834b606d%22	https://www.nfactorial.school/about	C:/My%20Web%20Sites/nfactorial/www.nfactorial.school/about.html	(from https://www.nfactorial.school/)
15:11:53	515607/515607	---M-Z	200	added ('OK')	text/html	etag:%22e51c46ce783f83bf3e6cd2cc90e90ae9%22	https://www.nfactorial.school/courses_new	C:/My%20Web%20Sites/nfactorial/www.nfactorial.school/courses_new.html	(from https://www.nfactorial.school/)
15:11:53	663237/663237	---M-Z	200	added ('OK')	text/html	etag:%2258393886c8e53be3cf2d776f8648db7b%22	https://www.nfactorial.school/case	C:/My%20Web%20Sites/nfactorial/www.nfactorial.school/case.html	(from https://www.nfactorial.school/)
